id,name,sex,sexuality,birthyear,scholar,transfer,main workplace,value,type
queen, Alexander McQueen,2,2,1969,2,2,USA,1,1
renta,Oscar De la Renta,2,1,1932,2,NA,DR,1,1
vanherpen,Iris Van Herpen,1,1,1984,3,2,NL,1,1
versace,Donatella Versace,1,1,1955,2,NA,IT,1,1
west,"Vivienne Westwood,",1,1,1941,2,NA,GB,1,1
williams,Pharell Williams,1,1,1973,1,1,USA,1,1
yama,Yohji Yamamoto,2,1,1943,3,NA,JAP,1,1
bellucci,Monica Bellucci,1,NA,NA,NA,NA,NA,NA,3
delevinge,Cara Delevinge,1,NA,NA,NA,NA,NA,NA,3
doillon,Lou Doillon,1,NA,NA,NA,NA,NA,NA,3
ellis,Stella Ellis,1,NA,NA,NA,NA,NA,NA,3
gaga,Lady Gaga,1,NA,NA,NA,NA,NA,NA,3
hill,Lauryn Hill,1,NA,NA,NA,NA,NA,NA,3
jenner,Kendall Jenner,1,NA,NA,NA,NA,NA,NA,3
kahlo,Frida Kahlo,1,NA,NA,NA,NA,NA,NA,3
kolibius,Felize Kolibius,1,NA,NA,NA,NA,NA,NA,3
larson,Sarah Larson,1,NA,NA,NA,NA,NA,NA,3
mara,Rooney Mara,1,NA,NA,NA,NA,NA,NA,3
madonna,Madonna,1,NA,NA,NA,NA,NA,NA,3
moss,Kate Moss,1,NA,NA,NA,NA,NA,NA,3
seymour,Jane Seymour,1,NA,NA,NA,NA,NA,NA,
schiffer,Claudia Schiffer,1,NA,NA,NA,NA,NA,NA,3
towley,mette towley,1,NA,NA,NA,NA,NA,NA,3
AD,Adolfo Domínguez,NA,NA,NA,NA,NA,NA,NA,2
AM,Alexander Mc Queen,NA,NA,NA,NA,NA,NA,1,2
B,Balmain,NA,NA,NA,NA,NA,NA,2,2
BBC,Billionaire Boys Club,NA,NA,NA,NA,NA,NA,1,2
BU,Burberry,NA,NA,NA,NA,NA,NA,2,2
BV,Bottega Veneta,NA,NA,NA,NA,NA,NA,1,2
C,Chanel,NA,NA,NA,NA,NA,NA,3,2
CA,Christian Audigier,NA,NA,NA,NA,NA,NA,1,2
CB,Custo Barcelona,NA,NA,NA,NA,NA,NA,NA,2
CE,Céline,NA,NA,NA,NA,NA,NA,1,2
CK,Calvin Klein,NA,NA,NA,NA,NA,NA,2,2
CL,Christian Lacroix,NA,NA,NA,NA,NA,NA,1,2
DEC,David Emanuel Couture,NA,NA,NA,NA,NA,NA,NA,2
D,Dior,NA,NA,NA,NA,NA,NA,3,2
D&G,Dolce&Gabbana,NA,NA,NA,NA,NA,NA,2,2
DI,Diesel,NA,NA,NA,NA,NA,NA,2,2
DK,Donna Karan,NA,NA,NA,NA,NA,NA,1,2
DO,Donda by Kanye West,NA,NA,NA,NA,NA,NA,1,2
EH,Ed Hardy,NA,NA,NA,NA,NA,NA,1,2
ET,Etro,NA,NA,NA,NA,NA,NA,NA,2
F,Fendi,NA,NA,NA,NA,NA,NA,2,2
AF,Alberta Ferretti,NA,NA,NA,NA,NA,NA,NA,2
G,Gucci,NA,NA,NA,NA,NA,NA,2,2
GA,Giorgio Armani,NA,NA,NA,NA,NA,NA,1,2
GAL,John Galliano,NA,NA,NA,NA,NA,NA,1,2
GC,Giorgio Correggiari,NA,NA,NA,NA,NA,NA,NA,2
GI,Givenchy,NA,NA,NA,NA,NA,NA,2,2
II,Italia Independent,NA,NA,NA,NA,NA,NA,NA,2
J,Joop,NA,NA,NA,NA,NA,NA,1,2
JP,Jean Patou,NA,NA,NA,NA,NA,NA,NA,2
JPG,Jean P. Gaultier,NA,NA,NA,NA,NA,NA,1,2
KL,Karl Lagerfeld,NA,NA,NA,NA,NA,NA,1,2
LV,Louis Vuitton,NA,NA,NA,NA,NA,NA,3,2
LE,Lee,NA,NA,NA,NA,NA,NA,1,2
LEV,Levi´s,NA,NA,NA,NA,NA,NA,2,2
M,Mugler,NA,NA,NA,NA,NA,NA,1,2
MM,Maison Margiela,NA,NA,NA,NA,NA,NA,1,2
N,Nino Cerutti,NA,NA,NA,NA,NA,NA,1,2
OR,Oscar de la Renta,NA,NA,NA,NA,NA,NA,1,2
PC,Pierre Cardin,NA, NA,NA,NA,NA,NA,NA,2
PP,Philipp Plein,NA,NA,NA,NA,NA,NA,NA,2
RC,Roberto Cavalli,NA,NA,NA,NA,NA,NA,1,2
RL,Ralph Lauren,NA,NA,NA,NA,NA,NA,2,2
RS,Raf Simons,NA,NA,NA,NA,NA,NA,1,2
TF,Tom Ford,NA,NA,NA,NA,NA,NA,2,2
TH,Tommy Hilfiger,NA,NA,NA,NA,NA,NA,1,2
TB,Tory Burch,NA,NA,NA,NA,NA,NA,1,2
U,Ungaro,NA,NA,NA,NA,NA,NA,1,2
V,Versace,NA,NA,NA,NA,NA,NA,1,2
VA,Valentino,NA,NA,NA,NA,NA,NA,1,2
VD,Von Dutch,NA,NA,NA,NA,NA,NA,1,2
VW,Vera ,Wang,NA,NA,NA,NA,NA,1,2
Y,Yohji Yamamoto,NA,NA,NA,NA,NA,NA,1,2
Z,Zegna,NA,NA,NA,NA,NA,NA,2,2
